pc_code,pc_description,unit,country_code,country_name,quantity,value,pc_type
P9,"Oth_Txtl_Yrn,_Fbric_Mdup_Artcl",Na,10273,Nepal,NA,5.511763,Textile
P9,"Oth_Txtl_Yrn,_Fbric_Mdup_Artcl",Na,10359,Singapore,NA,1.596033,Textile
P9,"Oth_Txtl_Yrn,_Fbric_Mdup_Artcl",Na,10437,Vietnam_Soc_Rep,NA,12.302367,Textile
P9,"Oth_Txtl_Yrn,_Fbric_Mdup_Artcl",Na,11351,Saudi_Arab,NA,5.135154,Textile
P9,"Oth_Txtl_Yrn,_Fbric_Mdup_Artcl",Na,11419,U_Arab_Emts,NA,14.464586,Textile
P9,"Oth_Txtl_Yrn,_Fbric_Mdup_Artcl",Na,13147,Germany,NA,5.017063,Textile
P9,"Oth_Txtl_Yrn,_Fbric_Mdup_Artcl",Na,13421,U_K,NA,29.990602,Textile
Q1,"Silk,Raw",Kgs,5423,U_S_A,20,0.000564,Textile
Q1,"Silk,Raw",Kgs,10273,Nepal,5652,0.095271,Textile
Q1,"Silk,Raw",Kgs,11419,U_Arab_Emts,3075,0.128958,Textile
Q2,"Natrl_Silk_Yarn,Fabrics,Madeup",Na,5423,U_S_A,NA,20.865515,Textile
Q2,"Natrl_Silk_Yarn,Fabrics,Madeup",Na,7171,Guyana,NA,0.000274,Textile
Q2,"Natrl_Silk_Yarn,Fabrics,Madeup",Na,10027,Bangladesh_Pr,NA,0.030982,Textile
Q2,"Natrl_Silk_Yarn,Fabrics,Madeup",Na,10077,China_P_Rp,NA,1.635514,Textile
Q2,"Natrl_Silk_Yarn,Fabrics,Madeup",Na,10179,Hong_Kong,NA,2.201046,Textile
Q2,"Natrl_Silk_Yarn,Fabrics,Madeup",Na,10205,Japan,NA,0.720695,Textile
Q2,"Natrl_Silk_Yarn,Fabrics,Madeup",Na,10217,Korea_Rp,NA,0.331848,Textile
Q2,"Natrl_Silk_Yarn,Fabrics,Madeup",Na,10245,Malaysia,NA,2.064816,Textile
Q2,"Natrl_Silk_Yarn,Fabrics,Madeup",Na,10273,Nepal,NA,0.975959,Textile
Q2,"Natrl_Silk_Yarn,Fabrics,Madeup",Na,10359,Singapore,NA,3.093062,Textile
Q2,"Natrl_Silk_Yarn,Fabrics,Madeup",Na,10437,Vietnam_Soc_Rep,NA,0.096642,Textile
Q2,"Natrl_Silk_Yarn,Fabrics,Madeup",Na,11351,Saudi_Arab,NA,1.18699,Textile
Q2,"Natrl_Silk_Yarn,Fabrics,Madeup",Na,11419,U_Arab_Emts,NA,7.26023,Textile
Q2,"Natrl_Silk_Yarn,Fabrics,Madeup",Na,13147,Germany,NA,5.443097,Textile
Q2,"Natrl_Silk_Yarn,Fabrics,Madeup",Na,13421,U_K,NA,13.175119,Textile
Q3,"Manmade_Yarn,Fabrics,Madeups",Na,5423,U_S_A,NA,371.373271,Textile
Q3,"Manmade_Yarn,Fabrics,Madeups",Na,7171,Guyana,NA,0.437108,Textile
Q3,"Manmade_Yarn,Fabrics,Madeups",Na,10027,Bangladesh_Pr,NA,294.796588,Textile
Q3,"Manmade_Yarn,Fabrics,Madeups",Na,10077,China_P_Rp,NA,34.876062,Textile
Q3,"Manmade_Yarn,Fabrics,Madeups",Na,10179,Hong_Kong,NA,9.512992,Textile
Q3,"Manmade_Yarn,Fabrics,Madeups",Na,10205,Japan,NA,33.377143,Textile
Q3,"Manmade_Yarn,Fabrics,Madeups",Na,10217,Korea_Rp,NA,63.229796,Textile
Q3,"Manmade_Yarn,Fabrics,Madeups",Na,10245,Malaysia,NA,56.511475,Textile
Q3,"Manmade_Yarn,Fabrics,Madeups",Na,10273,Nepal,NA,16.133023,Textile
Q3,"Manmade_Yarn,Fabrics,Madeups",Na,10359,Singapore,NA,22.857048,Textile
Q3,"Manmade_Yarn,Fabrics,Madeups",Na,10437,Vietnam_Soc_Rep,NA,75.909569,Textile
Q3,"Manmade_Yarn,Fabrics,Madeups",Na,11351,Saudi_Arab,NA,42.48757,Textile
Q3,"Manmade_Yarn,Fabrics,Madeups",Na,11419,U_Arab_Emts,NA,519.049207,Textile
Q3,"Manmade_Yarn,Fabrics,Madeups",Na,13147,Germany,NA,105.822972,Textile
Q3,"Manmade_Yarn,Fabrics,Madeups",Na,13421,U_K,NA,154.342044,Textile
Q4,"Wool,_Raw",Kgs,5423,U_S_A,16313,0.056621,Textile
Q4,"Wool,_Raw",Kgs,10027,Bangladesh_Pr,4207,0.004752,Textile
Q4,"Wool,_Raw",Kgs,10077,China_P_Rp,12698,0.050374,Textile
Q4,"Wool,_Raw",Kgs,10217,Korea_Rp,25880,0.125777,Textile
Q5,"Wollen_Yarn,Fabrics,Madeupsetc",Na,5423,U_S_A,NA,11.252123,Textile
Q5,"Wollen_Yarn,Fabrics,Madeupsetc",Na,10027,Bangladesh_Pr,NA,3.487511,Textile
Q5,"Wollen_Yarn,Fabrics,Madeupsetc",Na,10077,China_P_Rp,NA,4.628828,Textile
Q5,"Wollen_Yarn,Fabrics,Madeupsetc",Na,10179,Hong_Kong,NA,1.958745,Textile
Q5,"Wollen_Yarn,Fabrics,Madeupsetc",Na,10205,Japan,NA,20.062948,Textile
Q5,"Wollen_Yarn,Fabrics,Madeupsetc",Na,10217,Korea_Rp,NA,17.268178,Textile
Q5,"Wollen_Yarn,Fabrics,Madeupsetc",Na,10245,Malaysia,NA,1.494771,Textile
